Pick,APPID,APP_POPULARITY,IS_FREE,IS_GAME,GITHUB_OPEN_ISSUES_COUNT
,com.grangerhub.Tremulous,373,true,true,0
,io.github.mki1967.mki3dgame,374,true,true,0
,io.thp.numptyphysics,375,true,true,1
,net.olofson.KoboDeluxe,376,true,true,0
,net.sourceforge.TuxFootball,377,true,true,1
,org.freedesktop.GstDebugViewer,378,true,false,2
,org.kde.katomic,379,true,true,0
,org.kde.ksquares,380,true,true,0
,net.blockout.BlockOutII,381,true,true,1
,org.gottcode.NovProg,382,true,false,0
,org.kde.killbots,383,true,true,1
,com.abagames.rRootage,384,true,true,0
,com.endlessm.HatchPreviewer,385,true,false,1
,net.mediaarea.MediaConch,386,true,false,0
,net.mediaarea.QCTools,387,true,false,0
,org.gottcode.Peg-E,388,true,true,0
,org.gottcode.Tanglet,389,true,true,0
,org.kde.kbounce,390,true,true,1
,org.kde.kdiamond,391,true,true,0
,org.kde.kgoldrunner,392,true,true,0
,org.kde.klickety,393,true,true,0
,org.kde.klines,394,true,true,0
,com.inventwithpython.flippy,395,true,true,0
,net.mediaarea.DVAnalyzer,396,true,false,0
,org.gnome.OfficeRunner,397,true,true,0
,org.kde.kwordquiz,398,true,false,0
,uk.co.mangobrain.Infector,399,true,true,0
,id.sideka.App,400,true,false,0
,net.mediaarea.BWFMetaEdit,401,true,false,0
,net.sourceforge.Teo,402,true,true,0
,org.gnode.NixView,403,true,false,0
,org.gnome.Hitori,404,true,true,1
,org.gottcode.Connectagram,405,true,true,0
,org.kde.kblocks,406,true,true,0
,org.kde.kjumpingcube,407,true,true,1
